檔案名,max累計水平距離,max累計爬升高度,max累計下降高度,max累計花費時間
HB桃山 (51).csv,12285.565522602083,1990.2664525540517,1792.3095182964726,0 days 10:20:27
HB桃山 (53).csv,2351.3128993921687,1042.5267756610706,375.00384146207125,0 days 03:38:15
HB桃山 (54).csv,11422.797096570595,1870.6986181036734,1860.2483705617346,0 days 11:06:03
HB桃山 (55).csv,11926.227499418974,1710.1483911741534,1715.6865548677752,0 days 11:01:12
HB桃山 (56).csv,14731.54558731802,1325.6191406249998,1505.7832031249998,0 days 16:02:53
HB桃山 (57).csv,8323.66309848815,2198.7346165880845,837.2557471366547,0 days 08:42:09
HB桃山 (6).csv,10317.874251034611,1573.1166717567794,1482.461336644304,0 days 09:44:43
HB桃山 (60).csv,3976.562286758949,3783.284733640751,2629.687230850683,0 days 04:56:32
HB桃山 (61).csv,7540.1214185534145,1702.528476715088,461.16796875,1 days 00:05:27
HB桃山 (7).csv,12706.532532407406,1813.7484321028028,1810.6573154642617,0 days 11:18:19
HB桃山 (8).csv,9393.687669769486,1414.0561915296416,1406.6226317174828,0 days 08:31:20
HB桃山 (9).csv,10827.358945547214,1531.1050981668332,1509.1130081653087,0 days 08:20:05
HB桃山 克啦業.csv,25627.79637669681,6236.931881041627,6237.081592424336,0 days 13:31:12
HB桃山.csv,9797.630570363692,1517.1543535389685,1424.3233779658692,0 days 10:29:54
HB桃山1126.csv,11738.126646957673,1880.2513226345352,1883.6839579433906,0 days 11:12:42
HB桃山2.1K野餐20240316.csv,5594.703260366748,795.1547435733985,860.2879547149496,0 days 05:06:56
HB桃山20210411.csv,10162.007082521885,1466.599609375,1460.19970703125,0 days 08:18:18
HB桃山2023-4-27.csv,12314.550274087342,1567.7653569282272,1841.9201985662803,0 days 12:18:15
HB桃山一日單攻 (2).csv,11812.612617239842,1673.1851636108008,1664.7450585386518,0 days 10:43:54
HB桃山一日單攻.csv,23305.467861789806,2152.8617079839178,2009.8692866249976,0 days 16:12:24
HB桃山一日單攻_20220416.csv,10805.33294017703,1526.2776192929668,1524.3153825979732,0 days 11:25:12
HB桃山不要再去了.csv,14741.226177725965,1738.763826219505,1843.5303586217358,0 days 14:18:49
